InstructorID,InstructorName,DepartmentID,Email,HireDate
1,Dr. mohamed,1,,
2,Dr. Ahmed,2,,
3,Dr. sara,1,,
4,Dr. Jaime Richardson,2,jvasquez@fcai.edu.eg,2016-05-05 00:00:00
5,Dr. Pamela Ward,7,richardsdeborah@fcai.edu.eg,2016-07-10 00:00:00
6,Dr. Mark Shaw,6,jensenallen@fcai.edu.eg,2021-06-07 00:00:00
7,Dr. Ruth Jimenez,6,wschneider@fcai.edu.eg,2018-06-17 00:00:00
8,Dr. Jeffrey Johnson,5,turnerchelsea@fcai.edu.eg,2020-03-15 00:00:00
9,Dr. Brian Lewis,1,katie43@fcai.edu.eg,2015-07-11 00:00:00
10,Dr. Stephanie Farrell,7,tanyacross@fcai.edu.eg,2018-05-26 00:00:00
11,Dr. George Williams,8,tcook@fcai.edu.eg,2022-05-30 00:00:00
12,Dr. Matthew Gordon,5,arianajohnson@fcai.edu.eg,2021-03-14 00:00:00
13,Dr. Crystal Rivera,6,jonlee@fcai.edu.eg,2018-06-13 00:00:00
14,Dr. Daniel Wolf,1,rjackson@fcai.edu.eg,2022-03-22 00:00:00
15,Dr. Jose Reynolds,5,hjohnson@fcai.edu.eg,2015-07-03 00:00:00
16,Dr. Andre Owens,2,ufoster@fcai.edu.eg,2021-06-14 00:00:00
17,Dr. Lonnie Ayala,2,suttondanielle@fcai.edu.eg,2018-07-18 00:00:00
18,Dr. Bailey Lopez,6,cole06@fcai.edu.eg,2020-03-24 00:00:00
19,Dr. Colleen Fry,4,ramosdaniel@fcai.edu.eg,2016-10-18 00:00:00
20,Dr. Jasmine Jones,8,paulwhite@fcai.edu.eg,2022-06-21 00:00:00
21,Dr. Chloe Padilla,7,matthew80@fcai.edu.eg,2019-04-23 00:00:00
22,Dr. Jesse Murphy,7,gtucker@fcai.edu.eg,2018-07-28 00:00:00
23,Dr. Austin Fry,6,shepardmary@fcai.edu.eg,2017-02-24 00:00:00
24,Dr. Anthony Kirk,8,lbailey@fcai.edu.eg,2019-09-07 00:00:00
25,Dr. Austin Becker,4,courtneysilva@fcai.edu.eg,2018-09-21 00:00:00
26,Dr. Breanna Cardenas,2,vjensen@fcai.edu.eg,2018-12-11 00:00:00
27,Dr. Jennifer Turner,8,gclark@fcai.edu.eg,2021-04-01 00:00:00
28,Dr. Wendy Gonzalez,1,christopher86@fcai.edu.eg,2019-04-23 00:00:00
29,Dr. Brendan Tran,5,williamlopez@fcai.edu.eg,2021-09-29 00:00:00
30,Dr. Carlos Duran,8,kellybrown@fcai.edu.eg,2017-10-15 00:00:00
31,Dr. Cody Jones,1,douglas69@fcai.edu.eg,2016-12-19 00:00:00
32,Dr. Leonard George,5,charles51@fcai.edu.eg,2016-11-13 00:00:00
33,Dr. Angela Garcia,1,estephenson@fcai.edu.eg,2022-12-04 00:00:00
34,Dr. Stephanie Adams,2,scott66@fcai.edu.eg,2020-04-16 00:00:00
35,Dr. Mary Morris,6,pdiaz@fcai.edu.eg,2016-10-05 00:00:00
36,Dr. Claudia Allen,3,joyce34@fcai.edu.eg,2017-10-25 00:00:00
37,Dr. Jennifer Villa,2,nking@fcai.edu.eg,2020-07-14 00:00:00
38,Dr. Christopher Callahan,7,monica73@fcai.edu.eg,2023-01-15 00:00:00
39,Dr. Katherine Cohen,5,ydecker@fcai.edu.eg,2021-08-23 00:00:00
40,Dr. Jordan Moss,1,bradleymoore@fcai.edu.eg,2015-07-07 00:00:00
41,Dr. Melissa Brown,1,morganangela@fcai.edu.eg,2016-05-29 00:00:00
42,Dr. Jimmy James,4,bennettmichael@fcai.edu.eg,2018-06-07 00:00:00
43,Dr. Anthony Hicks,2,rickyroberts@fcai.edu.eg,2021-02-02 00:00:00
44,Dr. Christopher Torres,4,jeffreylopez@fcai.edu.eg,2023-01-11 00:00:00
45,Dr. Christopher Smith,5,lindsay62@fcai.edu.eg,2015-09-10 00:00:00
46,Dr. Emily Ruiz,4,tchavez@fcai.edu.eg,2020-06-09 00:00:00
47,Dr. Crystal Allen,1,tsmith@fcai.edu.eg,2022-11-14 00:00:00
48,Dr. Henry Atkins,8,xboyle@fcai.edu.eg,2022-06-19 00:00:00
49,Dr. Jake Green,1,xmcintosh@fcai.edu.eg,2015-05-01 00:00:00
50,Dr. Tracy Freeman,1,anthonyconley@fcai.edu.eg,2019-09-26 00:00:00
51,Dr. Monica Strickland,5,joshuaschmidt@fcai.edu.eg,2022-05-12 00:00:00
52,Dr. Sandra Wilson,2,fortiz@fcai.edu.eg,2016-09-04 00:00:00
53,Dr. Brian Valdez,2,pwright@fcai.edu.eg,2015-06-30 00:00:00
54,Dr. Sheila James,6,cameron54@fcai.edu.eg,2019-10-06 00:00:00
55,Dr. Karen Bryant,2,adiaz@fcai.edu.eg,2019-12-13 00:00:00
56,Dr. Jack Jackson,6,jeffsanchez@fcai.edu.eg,2020-01-31 00:00:00
57,Dr. Damon James,5,aaron69@fcai.edu.eg,2017-06-05 00:00:00
58,Dr. Shawn Manning,4,aliciakoch@fcai.edu.eg,2019-11-22 00:00:00
59,Dr. Michael Jones,3,mcbridejoshua@fcai.edu.eg,2017-06-01 00:00:00
2422,Dr. Evan Roberts,4,william77@fcai.edu.eg,2022-09-11 00:00:00
2423,Dr. Kimberly Davidson,7,hicksjustin@fcai.edu.eg,2015-02-07 00:00:00
2424,Dr. Gary Smith,5,dmoon@fcai.edu.eg,2018-10-17 00:00:00
2425,Dr. Brooke Hubbard,3,christiangarrett@fcai.edu.eg,2017-05-06 00:00:00
2426,Dr. Albert Thompson,8,josephmurphy@fcai.edu.eg,2018-08-26 00:00:00
2427,Dr. Nicholas Sanchez,6,srogers@fcai.edu.eg,2022-07-13 00:00:00
2428,Dr. Robin Hoffman,8,fletcheramy@fcai.edu.eg,2017-08-24 00:00:00
2429,Dr. Javier Reilly,4,jacklong@fcai.edu.eg,2019-04-04 00:00:00
