StudentID,StudentName,age,DepartmentID,Gender,BirthDate,Email,Phone,Address
1,Ahmed,19,1,Male,2026-05-07 00:00:00,brax42@gmail.com,+20 105866856,"59130 Cairo, Egypt"
2,Mohamed,20,2,Male,2026-05-14 00:00:00,juoo09@gmail.com,+20 105866800,"59130 Cairo, Egypt"
3,Hassan,19,1,Male,2026-05-22 00:00:00,hossamnum23@gmail.com,+20 105866817,"59130 Cairo, Egypts"
4,Carolyn Lopez,21,6,Female,2005-10-20 00:00:00,carolynlopez76@fcai.edu.eg,+20 105866856,"3043 Cairo, Egypt"
5,Kelsey Hays,18,7,Female,2008-03-26 00:00:00,kelseyhays55@fcai.edu.eg,+20 104758967,"560 Cairo, Egypt"
6,John Cruz,24,8,Male,2002-04-19 00:00:00,johncruz46@fcai.edu.eg,+20 105331029,"7895 Cairo, Egypt"
7,Toni Hill,20,8,Female,2006-12-09 00:00:00,tonihill53@fcai.edu.eg,+20 115034581,"4642 Cairo, Egypt"
8,Lisa Bailey,23,1,Female,2003-06-14 00:00:00,lisabailey92@fcai.edu.eg,+20 156888101,"59130 Cairo, Egypt"
9,Brittany Griffin,23,8,Female,2003-02-24 00:00:00,brittanygriffin83@fcai.edu.eg,+20 125261589,"60888 Cairo, Egypt"
10,Logan Salazar,21,5,Male,2005-04-23 00:00:00,logansalazar30@fcai.edu.eg,+20 155764108,"96657 Cairo, Egypt"
11,Sara Freeman,20,3,Female,2006-11-20 00:00:00,sarafreeman51@fcai.edu.eg,+20 115699950,"84447 Cairo, Egypt"
12,Christine Gibson,19,1,Female,2007-06-22 00:00:00,christinegibson87@fcai.edu.eg,+20 119560052,"516 Cairo, Egypt"
13,Melinda Meza,23,7,Female,2003-11-05 00:00:00,melindameza58@fcai.edu.eg,+20 155209420,"5732 Cairo, Egypt"
14,Patrick Hurst,21,4,Male,2005-12-18 00:00:00,patrickhurst13@fcai.edu.eg,+20 156203630,"77759 Cairo, Egypt"
15,Justin Young,21,7,Male,2005-03-19 00:00:00,justinyoung35@fcai.edu.eg,+20 123107255,"28520 Cairo, Egypt"
